,subtype_id,cell_subtype,cell_type,cluster,lineage,germ_layer,stages,n_cells,global_markers,local_markers
0,1,Rostral ectoderm,Rostral ectoderm,Early,Ectoderm,Ectoderm,E7.5,914,"Dnmt3b, Pou5f1, Epcam, Pim2, Utf1, Slc7a3, Pou3f1, Rbpms2, L1td1, Spint2","Utf1, Epcam, Dnmt3b, Slc7a3, Cldn6, L1td1, Pou5f1, Zfp36l2, Rbpms2, Car14"
1,2,Amniotic ectoderm,Amniotic ectoderm,Extraembryonic and PGC,Extraembryonic ectoderm,Ectoderm,"E8.5, E9.0, E9.5, E10.0",8753,"Igfbp2, Slc2a3, Ahnak, Krt8, Krt18, Anxa2, Pmp22, Slc2a1, Rbms3, Plac8","Plac8, Tac2, Ppp2r2b, Slc2a1, Lrp2, Kcnq5, Pmp22, Dlk1, Wfdc2, Dpf3"
2,3,Extraembryonic ectoderm,Extraembryonic ectoderm,Extraembryonic and PGC,Extraembryonic ectoderm,Ectoderm,E7.5,342,"Rhox5, Fabp3, Phlda2, Rps3a3, Morc4, Trap1a, Id2, Tex19.1, Sfmbt2, Bex1","Rhox5, Id2, Fabp3, Rps3a3, Morc4, Tex19.1, Sfmbt2, Xist, Trap1a, Utf1"
3,4a,Cranial neural crest,Cranial neural crest,Early,Neural crest,Ectoderm,E8.0,201,"Sox9, Foxd3, Gadd45a, Ets1, Ptn, Pax3, Pak3, Mest, Id3, Tfap2a","Sox9, Foxd3, Ets1, Gadd45a, Pax3, Mest, Pak3, Tfap2a, Robo1, Id3"
4,4b,Cranial neural crest (anterior),Cranial neural crest,Neural crest,Neural crest,Ectoderm,"E8.5, E9.0, E9.5, E10.0",17118,"Cdh6, Tnik, Tfap2b, Sox10, Lmo4, Plp1, Nr2f1, Rbms3, Ets1, Mef2c","Celf2, Hmcn1, Id2, Gap43, Cited2, Id3, Tpi1, Mef2c, Slc16a3, Ppp2r2b"
5,4c,Cranial neural crest (posterior),Cranial neural crest,Neural crest,Neural crest,Ectoderm,"E8.5, E9.0, E9.5, E10.0",8108,"Crabp1, Cdh6, Dcc, Nr2f1, Crabp2, Tnik, Tfap2b, Zeb2, Sox10, Ednra","Crabp1, Meis1, Ednra, Nr2f1, Zfp503, Unc5c, Fhod3, Meis2, Epha4, Arid3b"
6,5,Frontonasal mesenchyme,Frontonasal mesenchyme,Neural crest,Neural crest,Ectoderm,"E8.5, E9.0, E9.5, E10.0",46044,"Crabp1, Cped1, Twist1, Alx3, Hmcn1, Prrx1, Col1a2, Cdh11, Col23a1, Col3a1","Alx3, Rarb, Crabp1, Col1a2, Alx1, Alx4, Crym, Ldhb, Pax3, Foxp1"
7,6a,Pharyngeal arch mesenchyme,Pharyngeal arch mesenchyme,Neural crest,Neural crest,Ectoderm,"E8.5, E9.0, E10.0",4711,"Twist1, Col23a1, Cdh11, Mef2c, Crabp1, Id1, Prrx1, Cped1, Lmo4, Adam12","Twist1, Mef2c, Hapln1, Plxna4, Cdh11, Adam12, Hopx, Ebf2, Id1, Plcb1"
8,6b,Pharyngeal arch mesenchyme (p1-p2),Pharyngeal arch mesenchyme,Neural crest,Neural crest,Ectoderm,"E9.0, E9.5, E10.0, E8.5",47310,"Twist1, Prrx1, Barx1, Col23a1, Mecom, Cped1, Bmpr1b, Gpc3, Fli1, Cdh11","Barx1, Stk26, Gpc3, Sema3a, Unc5c, Dlk1, Mab21l2, Bmpr1b, Ptn, Lrba"
9,6c,Pharyngeal arch mesenchyme (p3-p4),Pharyngeal arch mesenchyme,Neural crest,Neural crest,Ectoderm,"E9.0, E9.5, E10.0",14867,"Crabp1, Twist1, Prrx1, Col23a1, Mecom, Cped1, Nr2f1, Gpc5, Meis2, Fli1","Meis1, Meis2, Zfp503, Mecom, Meox1, Dcc, Gpc5, Slit2, Hoxb2, Foxp2"
10,7,Trigeminal ganglion neuron,Trigeminal ganglion neuron,Neural crest,Neural crest,Ectoderm,"E9.5, E10.0",2806,"Thsd7b, Tubb3, Neurod1, Cadm1, Hmx1, Ppp1r14a, Tmsb4x, Ebf1, Eya2, Cotl1","Hmx1, Tnik, Ncam2, Ndst3, Edil3, Pde4b, Nrp1, Ddah1, Igfbp2, Synpo"
11,8,Autonomic neuron,Autonomic neuron,Neural crest,Neural crest,Ectoderm,"E9.5, E10.0",622,"Phox2b, Cdkn1c, Ascl1, Nefl, Nefm, Tubb3, Tlx2, Srrm4, Cthrc1, Sox2ot","Id3, Tlx2, Sox2ot, Ascl1, Tspan18, Cthrc1, Id1, Tfap2b, Tanc2, Cdkn1c"
12,9,Autonomic progenitor,Autonomic progenitor,Neural crest,Neural crest,Ectoderm,"E9.5, E10.0",5462,"Cdh6, Crabp1, Tfap2b, Phox2b, Zeb2, Sntb1, Spon1, Lmo4, Cdh19, Ets1","Phox2b, Cdkn1c, Sox2ot, Ascl1, Sntb1, Peg10, Nell2, Fgf13, Spon1, Tshz2"
13,10,Dorsal root ganglion neuron,Dorsal root ganglion neuron,Neural crest,Neural crest,Ectoderm,"E9.0, E9.5, E10.0",2691,"Tubb3, Thsd7b, Pou4f1, Ppp1r14a, Cadm1, Neurod1, Isl1, Tmsb4x, Nav2, Ebf1","Crabp1, Crabp2, Hmx1, Hoxb8, Hoxb6, Hoxb9, Pou4f1, Hoxb4, Hoxc4, Dcc"
