embryo,batch,n_donor,n_host,n_host_partition,n_donor_partition,sinkhorn,energy,sinkhorn_baseline,energy_baseline,sinkhorn_normalized,energy_normalized
E7.5-R1,0,1032,310,4,21,75.32001495361328,5.354623317718506,25.495786666870117,2.0924172401428223,1.5627744336864773,1.35561452708032
E7.5-R1,1,1032,310,4,21,91.4053955078125,5.9417009353637695,30.24378204345703,1.680391788482666,1.5956407650288535,1.8220783506055778
E7.5-R1,2,1032,310,4,21,85.83240509033203,5.997296333312988,33.93816375732422,2.3902363777160645,1.338613915180793,1.327158962042941
E7.5-R1,3,1032,310,4,21,85.60618591308594,6.759909152984619,56.21356964111328,3.368551731109619,0.6067966187112152,1.004875403057122
E7.5-R1,4,1032,310,4,21,92.8512954711914,6.521907329559326,44.86390686035156,1.943582534790039,1.0493667795770676,1.7465755683954722
E7.5-R1,5,1032,310,3,21,82.21495056152344,6.295029163360596,44.3748779296875,3.1860408782958984,0.8896576170514693,0.9824482842305362
E7.5-R1,6,1032,310,3,21,64.19931030273438,3.942002773284912,34.64178466796875,2.8261804580688477,0.8900445420361827,0.4800752033669934
E7.5-R1,7,1032,310,3,21,79.78720092773438,6.162568092346191,27.17092514038086,2.914797306060791,1.5540936463410995,1.0801361199870008
E7.5-R1,8,1032,310,3,21,93.65934753417969,5.579649925231934,43.584022521972656,2.619129180908203,1.1036236337490735,1.091087390090945
E7.5-R1,9,1032,310,3,21,79.5190658569336,6.7527360916137695,35.762306213378906,2.7269763946533203,1.1528610340886079,1.3081699636435467
E7.5-R1,10,1032,310,3,21,70.0731430053711,4.520522117614746,31.509807586669922,2.7703137397766113,1.153060662560777,0.7064400410334601
E7.5-R1,11,1032,310,3,21,60.006771087646484,2.983734130859375,37.631771087646484,2.353118896484375,0.6731741123127476,0.34254477055146154
E7.5-R1,12,1032,310,3,21,83.23191833496094,7.129123210906982,24.54654312133789,2.2740159034729004,1.7616170241092743,1.6484823110780669
E7.5-R1,13,1032,310,3,21,91.95787048339844,6.842667579650879,16.827632904052734,1.9539189338684082,2.450140806124794,1.8081882496167527
E7.5-R1,14,1032,310,3,21,79.64134216308594,6.435441970825195,40.1018180847168,2.4747133255004883,0.989849889197413,1.3787778217910245
E7.5-R1,15,1032,310,3,21,83.37477111816406,5.591270446777344,58.82616424560547,3.516252040863037,0.5031529272654339,0.669137644153739
E7.5-R1,16,1032,310,3,21,64.58759307861328,4.231902122497559,29.091510772705078,2.293421745300293,1.1506588377074092,0.8838045789576393
E7.5-R1,17,1032,310,3,21,66.15727233886719,4.532339096069336,35.24729919433594,2.291712760925293,0.9083870374869766,0.9838295726535644
E7.5-R1,18,1032,310,3,21,82.989990234375,6.983748435974121,66.8733139038086,4.353629112243652,0.31150672577015476,0.6817830832075248
E7.5-R1,19,1032,310,3,21,90.32305908203125,7.853396415710449,65.4092788696289,4.520843505859375,0.46559903950445586,0.7967247438323274
E7.5-R1,20,1032,310,3,21,85.90336608886719,6.342103958129883,21.384990692138672,2.028857707977295,2.006116084618175,1.644293839334103
E7.5-R1,21,1032,310,3,21,93.95610046386719,7.866058349609375,9.758069038391113,1.5425853729248047,3.2673192417640338,2.350290551910172
E7.5-R1,22,1032,310,3,21,89.85116577148438,7.74066162109375,54.229637145996094,4.816510200500488,0.7284557048441225,0.6844686626136441
E7.5-R1,23,1032,310,3,21,84.05321502685547,6.3867340087890625,35.12837219238281,2.367546558380127,1.258666278143223,1.4316855702648994
E7.5-R1,24,1032,310,3,21,62.360076904296875,3.7872543334960938,38.09687423706055,2.9360780715942383,0.7109500745236191,0.36726197824497153
E7.5-R1,25,1032,310,3,21,52.50506591796875,3.7236275672912598,63.83057403564453,4.431692600250244,-0.2817909951633968,-0.25114903031013086
E7.5-R1,26,1032,310,3,21,67.7666015625,3.8731231689453125,57.423919677734375,3.3203954696655273,0.23892261305118634,0.2221422997740795
E7.5-R1,27,1032,310,3,21,83.25775909423828,6.413766860961914,21.65959930419922,2.0418567657470703,1.9425781746751978,1.6512902469593342
E7.5-R1,28,1032,310,3,21,75.80988311767578,6.054227828979492,32.16015625,2.2620644569396973,1.2371115248217235,1.4203029276655152
E7.5-R1,29,1032,310,3,21,83.64031982421875,7.436935901641846,35.5738525390625,2.977555274963379,1.2333813562154625,1.3205800473776197
E7.5-R1,30,1032,310,3,21,85.71568298339844,7.813290596008301,24.458581924438477,2.3728089332580566,1.809218430634294,1.7193343382211332
E7.5-R1,31,1032,310,3,21,91.86922454833984,6.224086761474609,44.444305419921875,2.916065216064453,1.0475830705918923,1.0938391860589087
E7.5-R1,32,1032,310,3,20,89.63208770751953,7.944583892822266,18.387256622314453,2.1824798583984375,2.285309054458977,1.864003319039685
E7.5-R1,33,1032,310,3,20,64.19224548339844,3.885531425476074,39.62787628173828,2.734037399291992,0.6958833750620395,0.5070789521146993
E7.5-R1,34,1032,310,3,20,54.87346267700195,3.334527015686035,39.029441833496094,2.6233062744140625,0.49154578627964474,0.34609588361090016
E7.5-R1,35,1032,310,3,20,93.82776641845703,6.113042831420898,38.56623077392578,3.0141186714172363,1.2826767694480654,1.0201544558506939
E7.5-R1,36,1032,310,3,20,62.40937042236328,3.920560836791992,37.70550537109375,2.5449090003967285,0.726987471641247,0.6234459767921445
E7.5-R1,37,1032,310,3,20,96.23188781738281,7.40381383895874,44.19683074951172,2.6981492042541504,1.1225721098622181,1.4562984909172854
E7.5-R1,38,1032,310,3,20,81.02487182617188,6.525055408477783,20.063554763793945,2.369842052459717,2.013787594994622,1.461199244409845
E7.5-R1,39,1032,310,3,20,66.89511108398438,3.7678470611572266,33.07257080078125,2.764023780822754,1.0162655841726826,0.4469703781178568
E7.5-R1,40,1032,310,3,20,77.16365814208984,6.035309314727783,13.728912353515625,1.9040603637695312,2.490704204392522,1.6643484955865584
E7.5-R1,41,1032,310,3,20,85.42337036132812,7.691561222076416,9.68100357055664,1.300269603729248,3.1414023045812045,2.5644656749552333
E7.5-R1,42,1032,310,3,20,91.01872253417969,5.982758045196533,70.68505859375,3.7921648025512695,0.3647580475246276,0.6577890554259618
E7.5-R1,43,1032,310,3,20,45.74971389770508,2.7960166931152344,48.41259765625,4.341980934143066,-0.08161978508429348,-0.6349804169298333
E7.5-R1,44,1032,310,3,20,57.30261993408203,4.173140525817871,35.11965560913086,2.291734218597412,0.7063224044092881,0.8646937637577821
E7.5-R1,45,1032,310,3,20,79.03572082519531,6.692584991455078,17.317440032958984,2.062676429748535,2.190279160165854,1.6980460306050915
E7.5-R1,46,1032,310,3,20,76.98985290527344,6.2800140380859375,28.078344345092773,2.2859344482421875,1.4552104454267725,1.4579837508296225
E7.5-R1,47,1032,310,3,20,64.93350219726562,3.6134462356567383,33.568458557128906,2.5656275749206543,0.9518567325248867,0.4940636638350762
E7.5-R1,48,1032,310,3,20,71.40635681152344,5.291962623596191,24.990612030029297,2.212601661682129,1.5146662790485157,1.258059128342114
E7.5-R1,49,1032,310,3,20,76.00132751464844,5.410257339477539,36.19166564941406,2.4926819801330566,1.070367111912702,1.117998384119519
E7.5-R2,0,1322,516,6,27,84.56460571289062,5.896912574768066,12.001558303833008,0.812675952911377,2.8168322134628667,2.859207694861077
E7.5-R2,1,1322,516,6,27,69.40504455566406,4.263045310974121,27.220674514770508,1.477238655090332,1.3503377092353972,1.52898147013937
E7.5-R2,2,1322,516,6,27,79.10729217529297,5.79930305480957,42.02401351928711,2.0812149047851562,0.9125967359181741,1.4784535868727828
