clone_a,clone_b,batch,n_a,n_b,sinkhorn,energy
E7.5-R1-C2,E7.5-R1-C1,0,182,850,18.153125762939453,1.140329360961914
E7.5-R1-C2,E7.5-R1-C1,1,182,850,25.876056671142578,1.1699037551879883
E7.5-R1-C2,E7.5-R1-C1,2,182,850,29.018829345703125,1.7766623497009277
E7.5-R1-C2,E7.5-R1-C1,3,182,850,24.399736404418945,1.4862217903137207
E7.5-R1-C2,E7.5-R1-C1,4,182,850,19.96442413330078,0.9796323776245117
E7.5-R1-C2,E7.5-R1-C1,5,182,850,21.89604949951172,1.252706527709961
E7.5-R1-C2,E7.5-R1-C1,6,182,850,27.51430892944336,1.4533710479736328
E7.5-R1-C2,E7.5-R1-C1,7,182,850,19.972827911376953,1.1967763900756836
E7.5-R1-C2,E7.5-R1-C1,8,182,850,33.0128059387207,1.6215286254882812
E7.5-R1-C2,E7.5-R1-C1,9,182,850,20.80835723876953,1.0035076141357422
E7.5-R1-C2,E7.5-R1-C1,10,182,850,35.927364349365234,1.3622188568115234
E7.5-R1-C2,E7.5-R1-C1,11,182,850,18.860679626464844,0.9935917854309082
E7.5-R1-C2,E7.5-R1-C1,12,182,850,31.7703800201416,1.7589197158813477
E7.5-R1-C2,E7.5-R1-C1,13,182,850,29.64494514465332,1.8997750282287598
E7.5-R1-C2,E7.5-R1-C1,14,182,850,37.387657165527344,1.665018081665039
E7.5-R1-C2,E7.5-R1-C1,15,182,850,31.652589797973633,1.300222396850586
E7.5-R1-C2,E7.5-R1-C1,16,182,850,34.873348236083984,1.6297502517700195
E7.5-R1-C2,E7.5-R1-C1,17,182,850,30.352554321289062,2.0226402282714844
E7.5-R1-C2,E7.5-R1-C1,18,182,850,21.820934295654297,1.0821166038513184
E7.5-R1-C2,E7.5-R1-C1,19,182,850,24.49188995361328,1.274261474609375
E7.5-R1-C2,E7.5-R1-C1,20,182,850,39.06257247924805,1.812605381011963
E7.5-R1-C2,E7.5-R1-C1,21,182,850,23.67656707763672,1.5482673645019531
E7.5-R1-C2,E7.5-R1-C1,22,182,850,19.570371627807617,1.0674428939819336
E7.5-R1-C2,E7.5-R1-C1,23,182,850,24.884796142578125,1.3696088790893555
E7.5-R1-C2,E7.5-R1-C1,24,182,850,27.280288696289062,1.163442611694336
E7.5-R1-C2,E7.5-R1-C1,25,182,850,19.477996826171875,1.5691571235656738
E7.5-R1-C2,E7.5-R1-C1,26,182,850,17.481264114379883,1.0059118270874023
E7.5-R1-C2,E7.5-R1-C1,27,182,850,24.151172637939453,1.6399669647216797
E7.5-R1-C2,E7.5-R1-C1,28,182,850,30.30098533630371,1.7405710220336914
E7.5-R1-C2,E7.5-R1-C1,29,182,850,35.131282806396484,1.7366952896118164
E7.5-R1-C2,E7.5-R1-C1,30,182,850,15.948195457458496,0.9026947021484375
E7.5-R1-C2,E7.5-R1-C1,31,182,850,21.767620086669922,1.2620935440063477
E7.5-R1-C2,E7.5-R1-C1,32,182,850,21.89934539794922,1.0069947242736816
E7.5-R1-C2,E7.5-R1-C1,33,182,850,26.073326110839844,1.4460453987121582
E7.5-R1-C2,E7.5-R1-C1,34,182,850,27.421234130859375,1.5089101791381836
E7.5-R1-C2,E7.5-R1-C1,35,182,850,29.256855010986328,1.67667818069458
E7.5-R1-C2,E7.5-R1-C1,36,182,850,44.216705322265625,2.031775951385498
E7.5-R1-C2,E7.5-R1-C1,37,182,850,26.686901092529297,1.38309907913208
E7.5-R1-C2,E7.5-R1-C1,38,182,850,32.763797760009766,1.8550901412963867
E7.5-R1-C2,E7.5-R1-C1,39,182,850,25.11141586303711,1.3194608688354492
E7.5-R1-C2,E7.5-R1-C1,40,182,850,32.65355682373047,1.8397374153137207
E7.5-R1-C2,E7.5-R1-C1,41,182,850,23.57904052734375,1.3355083465576172
E7.5-R1-C2,E7.5-R1-C1,42,182,850,29.623567581176758,1.775726318359375
E7.5-R1-C2,E7.5-R1-C1,43,182,850,32.393341064453125,2.0151820182800293
E7.5-R1-C2,E7.5-R1-C1,44,182,850,40.676605224609375,3.5968070030212402
E7.5-R1-C2,E7.5-R1-C1,45,182,850,25.87092399597168,1.5470504760742188
E7.5-R1-C2,E7.5-R1-C1,46,182,850,19.27412986755371,1.103172779083252
E7.5-R1-C2,E7.5-R1-C1,47,182,850,29.953554153442383,1.5477509498596191
E7.5-R1-C2,E7.5-R1-C1,48,182,850,39.99906539916992,2.51063871383667
E7.5-R1-C2,E7.5-R1-C1,49,182,850,38.86268997192383,2.613770008087158
E7.5-R1-C2,E7.5-R2-C2,0,182,197,25.34569549560547,2.176605224609375
E7.5-R1-C2,E7.5-R2-C2,1,182,197,22.244157791137695,1.824310302734375
E7.5-R1-C2,E7.5-R2-C2,2,182,197,34.87677764892578,2.7383546829223633
E7.5-R1-C2,E7.5-R2-C2,3,182,197,42.36405944824219,3.874526023864746
E7.5-R1-C2,E7.5-R2-C2,4,182,197,19.667152404785156,1.6521973609924316
E7.5-R1-C2,E7.5-R2-C2,5,182,197,36.07283401489258,2.117136001586914
E7.5-R1-C2,E7.5-R2-C2,6,182,197,25.45256996154785,2.1610050201416016
E7.5-R1-C2,E7.5-R2-C2,7,182,197,32.087303161621094,2.232278347015381
E7.5-R1-C2,E7.5-R2-C2,8,182,197,37.65060043334961,2.189338207244873
E7.5-R1-C2,E7.5-R2-C2,9,182,197,27.695919036865234,2.098590850830078
E7.5-R1-C2,E7.5-R2-C2,10,182,197,29.678386688232422,2.142385959625244
E7.5-R1-C2,E7.5-R2-C2,11,182,197,24.08798599243164,1.7831454277038574
E7.5-R1-C2,E7.5-R2-C2,12,182,197,34.215492248535156,2.077878952026367
E7.5-R1-C2,E7.5-R2-C2,13,182,197,39.021724700927734,2.243736743927002
E7.5-R1-C2,E7.5-R2-C2,14,182,197,27.087310791015625,2.1690454483032227
E7.5-R1-C2,E7.5-R2-C2,15,182,197,26.87651252746582,1.744375228881836
E7.5-R1-C2,E7.5-R2-C2,16,182,197,41.476463317871094,2.544301986694336
