embryo_a,embryo_b,batch,n_a,n_b,sinkhorn,energy
E7.5-R1,E7.5-R2,0,1342,1838,31.57606315612793,0.6562614440917969
E7.5-R1,E7.5-R2,1,1342,1838,28.964988708496094,0.5833978652954102
E7.5-R1,E7.5-R2,2,1342,1838,29.166465759277344,0.6053142547607422
E7.5-R1,E7.5-R2,3,1342,1838,35.31242752075195,0.7948074340820312
E7.5-R1,E7.5-R2,4,1342,1838,25.595935821533203,0.6196441650390625
E7.5-R1,E7.5-R2,5,1342,1838,36.87945556640625,0.7359523773193359
E7.5-R1,E7.5-R2,6,1342,1838,32.76496124267578,0.7260608673095703
E7.5-R1,E7.5-R2,7,1342,1838,32.44886779785156,0.6345663070678711
E7.5-R1,E7.5-R2,8,1342,1838,30.11628532409668,0.7309055328369141
E7.5-R1,E7.5-R2,9,1342,1838,33.422786712646484,0.6651906967163086
E7.5-R1,E7.5-R2,10,1342,1838,30.64501953125,0.6689300537109375
E7.5-R1,E7.5-R2,11,1342,1838,34.95514678955078,0.67620849609375
E7.5-R1,E7.5-R2,12,1342,1838,33.424713134765625,0.8760890960693359
E7.5-R1,E7.5-R2,13,1342,1838,37.19526290893555,1.0074529647827148
E7.5-R1,E7.5-R2,14,1342,1838,30.075828552246094,0.6460866928100586
E7.5-R1,E7.5-R2,15,1342,1838,31.18307876586914,0.6257133483886719
E7.5-R1,E7.5-R2,16,1342,1838,33.8955078125,0.6288232803344727
E7.5-R1,E7.5-R2,17,1342,1838,27.668109893798828,0.6297330856323242
E7.5-R1,E7.5-R2,18,1342,1838,34.00238037109375,0.7464084625244141
E7.5-R1,E7.5-R2,19,1342,1838,32.29231262207031,0.7087268829345703
E7.5-R1,E7.5-R2,20,1342,1838,33.50663375854492,0.5069599151611328
E7.5-R1,E7.5-R2,21,1342,1838,22.33719253540039,0.4868888854980469
E7.5-R1,E7.5-R2,22,1342,1838,25.47771453857422,0.723973274230957
E7.5-R1,E7.5-R2,23,1342,1838,33.68315887451172,0.6761102676391602
E7.5-R1,E7.5-R2,24,1342,1838,35.54153060913086,0.7753324508666992
E7.5-R1,E7.5-R2,25,1342,1838,34.474761962890625,0.7656669616699219
E7.5-R1,E7.5-R2,26,1342,1838,26.801645278930664,0.5886068344116211
E7.5-R1,E7.5-R2,27,1342,1838,27.622783660888672,0.6403236389160156
E7.5-R1,E7.5-R2,28,1342,1838,23.522214889526367,0.5257978439331055
E7.5-R1,E7.5-R2,29,1342,1838,36.08386993408203,0.8260049819946289
E7.5-R1,E7.5-R2,30,1342,1838,31.460525512695312,0.6328001022338867
E7.5-R1,E7.5-R2,31,1342,1838,27.810020446777344,0.7441701889038086
E7.5-R1,E7.5-R2,32,1342,1838,33.91140365600586,0.6740779876708984
E7.5-R1,E7.5-R2,33,1342,1838,35.55187225341797,0.8192415237426758
E7.5-R1,E7.5-R2,34,1342,1838,37.72705841064453,0.9009456634521484
E7.5-R1,E7.5-R2,35,1342,1838,29.81393051147461,0.5812520980834961
E7.5-R1,E7.5-R2,36,1342,1838,33.693145751953125,0.6601800918579102
E7.5-R1,E7.5-R2,37,1342,1838,37.451324462890625,1.0009641647338867
E7.5-R1,E7.5-R2,38,1342,1838,27.590333938598633,0.684239387512207
E7.5-R1,E7.5-R2,39,1342,1838,33.553245544433594,0.6611385345458984
E7.5-R1,E7.5-R2,40,1342,1838,31.05169677734375,0.5286636352539062
E7.5-R1,E7.5-R2,41,1342,1838,32.01575469970703,0.9397468566894531
E7.5-R1,E7.5-R2,42,1342,1838,26.848434448242188,0.659459114074707
E7.5-R1,E7.5-R2,43,1342,1838,26.664186477661133,0.49802303314208984
E7.5-R1,E7.5-R2,44,1342,1838,26.826065063476562,0.5657835006713867
E7.5-R1,E7.5-R2,45,1342,1838,26.82099151611328,0.7020606994628906
E7.5-R1,E7.5-R2,46,1342,1838,23.20099639892578,0.6440601348876953
E7.5-R1,E7.5-R2,47,1342,1838,36.43982696533203,0.9605894088745117
E7.5-R1,E7.5-R2,48,1342,1838,31.255435943603516,0.6434326171875
E7.5-R1,E7.5-R2,49,1342,1838,34.07881164550781,0.7991390228271484
E7.5-R1,E7.5-R3,0,1342,1468,21.03036117553711,0.5256557464599609
E7.5-R1,E7.5-R3,1,1342,1468,20.666824340820312,0.6188325881958008
E7.5-R1,E7.5-R3,2,1342,1468,30.477296829223633,0.8836784362792969
E7.5-R1,E7.5-R3,3,1342,1468,40.81150817871094,1.414754867553711
E7.5-R1,E7.5-R3,4,1342,1468,22.024517059326172,0.5435390472412109
