bucket,dataset_a,dataset_b,embryo_a,embryo_b,batch,n_a,n_b,time_a,time_b,sinkhorn
early,qiu2022,devmap,E6.5,E7.5-R1,0,4444,1342,E6.5,7.5,62.872310638427734
early,qiu2022,devmap,E6.5,E7.5-R1,1,4444,1342,E6.5,7.5,42.564762115478516
early,qiu2022,devmap,E6.5,E7.5-R1,2,4444,1342,E6.5,7.5,54.86124801635742
early,qiu2022,devmap,E6.5,E7.5-R1,3,4444,1342,E6.5,7.5,60.08704376220703
early,qiu2022,devmap,E6.5,E7.5-R1,4,4444,1342,E6.5,7.5,50.31464767456055
early,qiu2022,devmap,E6.5,E7.5-R1,5,4444,1342,E6.5,7.5,63.07722473144531
early,qiu2022,devmap,E6.5,E7.5-R1,6,4444,1342,E6.5,7.5,41.60028839111328
early,qiu2022,devmap,E6.5,E7.5-R1,7,4444,1342,E6.5,7.5,74.97420501708984
early,qiu2022,devmap,E6.5,E7.5-R1,8,4444,1342,E6.5,7.5,51.89662170410156
early,qiu2022,devmap,E6.5,E7.5-R1,9,4444,1342,E6.5,7.5,58.89876174926758
early,qiu2022,devmap,E6.5,E7.5-R1,10,4444,1342,E6.5,7.5,49.755313873291016
early,qiu2022,devmap,E6.5,E7.5-R1,11,4444,1342,E6.5,7.5,74.14144897460938
early,qiu2022,devmap,E6.5,E7.5-R1,12,4444,1342,E6.5,7.5,61.56648254394531
early,qiu2022,devmap,E6.5,E7.5-R1,13,4444,1342,E6.5,7.5,59.194114685058594
early,qiu2022,devmap,E6.5,E7.5-R1,14,4444,1342,E6.5,7.5,47.95668029785156
early,qiu2022,devmap,E6.5,E7.5-R1,15,4444,1342,E6.5,7.5,52.53049087524414
early,qiu2022,devmap,E6.5,E7.5-R1,16,4444,1342,E6.5,7.5,55.07356262207031
early,qiu2022,devmap,E6.5,E7.5-R1,17,4444,1342,E6.5,7.5,53.570926666259766
early,qiu2022,devmap,E6.5,E7.5-R1,18,4444,1342,E6.5,7.5,45.175575256347656
early,qiu2022,devmap,E6.5,E7.5-R1,19,4444,1342,E6.5,7.5,48.387664794921875
early,qiu2022,devmap,E6.5,E7.5-R1,20,4444,1342,E6.5,7.5,50.706382751464844
early,qiu2022,devmap,E6.5,E7.5-R1,21,4444,1342,E6.5,7.5,46.978546142578125
early,qiu2022,devmap,E6.5,E7.5-R1,22,4444,1342,E6.5,7.5,56.982879638671875
early,qiu2022,devmap,E6.5,E7.5-R1,23,4444,1342,E6.5,7.5,56.11518859863281
