bucket,dataset_a,dataset_b,embryo_a,embryo_b,batch,n_a,n_b,time_a,time_b,sinkhorn
early,qiu2022,devmap,E6.5,E7.5-R1,0,4444,1342,E6.5,7.5,85.8675537109375
early,qiu2022,devmap,E6.5,E7.5-R1,1,4444,1342,E6.5,7.5,88.64317321777344
early,qiu2022,devmap,E6.5,E7.5-R1,2,4444,1342,E6.5,7.5,87.3532485961914
early,qiu2022,devmap,E6.5,E7.5-R1,3,4444,1342,E6.5,7.5,71.44986724853516
early,qiu2022,devmap,E6.5,E7.5-R1,4,4444,1342,E6.5,7.5,72.29776000976562
early,qiu2022,devmap,E6.5,E7.5-R1,5,4444,1342,E6.5,7.5,81.3314208984375
early,qiu2022,devmap,E6.5,E7.5-R1,6,4444,1342,E6.5,7.5,84.08245849609375
early,qiu2022,devmap,E6.5,E7.5-R1,7,4444,1342,E6.5,7.5,75.45956420898438
early,qiu2022,devmap,E6.5,E7.5-R1,8,4444,1342,E6.5,7.5,75.8005142211914
early,qiu2022,devmap,E6.5,E7.5-R1,9,4444,1342,E6.5,7.5,54.8197021484375
early,qiu2022,devmap,E6.5,E7.5-R1,10,4444,1342,E6.5,7.5,80.35123443603516
early,qiu2022,devmap,E6.5,E7.5-R1,11,4444,1342,E6.5,7.5,90.28071594238281
early,qiu2022,devmap,E6.5,E7.5-R1,12,4444,1342,E6.5,7.5,79.65632629394531
early,qiu2022,devmap,E6.5,E7.5-R1,13,4444,1342,E6.5,7.5,82.48321533203125
early,qiu2022,devmap,E6.5,E7.5-R1,14,4444,1342,E6.5,7.5,89.94522857666016
early,qiu2022,devmap,E6.5,E7.5-R1,15,4444,1342,E6.5,7.5,99.92196655273438
early,qiu2022,devmap,E6.5,E7.5-R1,16,4444,1342,E6.5,7.5,74.40644836425781
early,qiu2022,devmap,E6.5,E7.5-R1,17,4444,1342,E6.5,7.5,80.58616638183594
early,qiu2022,devmap,E6.5,E7.5-R1,18,4444,1342,E6.5,7.5,87.6585922241211
early,qiu2022,devmap,E6.5,E7.5-R1,19,4444,1342,E6.5,7.5,78.45111846923828
early,qiu2022,devmap,E6.5,E7.5-R1,20,4444,1342,E6.5,7.5,68.98199462890625
early,qiu2022,devmap,E6.5,E7.5-R1,21,4444,1342,E6.5,7.5,86.3170166015625
early,qiu2022,devmap,E6.5,E7.5-R1,22,4444,1342,E6.5,7.5,73.25267028808594
early,qiu2022,devmap,E6.5,E7.5-R1,23,4444,1342,E6.5,7.5,103.85564422607422
early,qiu2022,devmap,E6.5,E7.5-R1,24,4444,1342,E6.5,7.5,83.926025390625
early,qiu2022,devmap,E6.5,E7.5-R1,25,4444,1342,E6.5,7.5,90.731689453125
early,qiu2022,devmap,E6.5,E7.5-R1,26,4444,1342,E6.5,7.5,74.0247802734375
early,qiu2022,devmap,E6.5,E7.5-R1,27,4444,1342,E6.5,7.5,75.72018432617188
early,qiu2022,devmap,E6.5,E7.5-R1,28,4444,1342,E6.5,7.5,106.91819763183594
early,qiu2022,devmap,E6.5,E7.5-R1,29,4444,1342,E6.5,7.5,67.78511047363281
early,qiu2022,devmap,E6.5,E7.5-R1,30,4444,1342,E6.5,7.5,69.77969360351562
early,qiu2022,devmap,E6.5,E7.5-R1,31,4444,1342,E6.5,7.5,102.33866882324219
early,qiu2022,devmap,E6.5,E7.5-R1,32,4444,1342,E6.5,7.5,94.42953491210938
early,qiu2022,devmap,E6.5,E7.5-R1,33,4444,1342,E6.5,7.5,83.86454772949219
early,qiu2022,devmap,E6.5,E7.5-R1,34,4444,1342,E6.5,7.5,77.80964660644531
early,qiu2022,devmap,E6.5,E7.5-R1,35,4444,1342,E6.5,7.5,75.48356628417969
early,qiu2022,devmap,E6.5,E7.5-R1,36,4444,1342,E6.5,7.5,74.1736831665039
early,qiu2022,devmap,E6.5,E7.5-R1,37,4444,1342,E6.5,7.5,75.44119262695312
early,qiu2022,devmap,E6.5,E7.5-R1,38,4444,1342,E6.5,7.5,78.39395141601562
early,qiu2022,devmap,E6.5,E7.5-R1,39,4444,1342,E6.5,7.5,81.35784912109375
