name,prefix,channels,time,min_umi,min_reads
SLOW-R1,slow_rep1,1,9.5,2,1
SLOW-R2,slow_rep2,1,9.5,2,1
MEDIUM-R1,medium_rep1,2,9.5,5,4
MEDIUM-R2,medium_rep2,2,9.5,5,4
FAST-R1,fast_rep1,1,9.5,2,1
FAST-R2,fast_rep2,1,9.5,2,1
E7.5-R1,e75_rep4,1,7.5,5,4
E7.5-R2,e75_rep5,1,7.5,5,4
E7.5-R3,e75_rep8,1,7.5,5,4
E8.0-R1,e80_rep1,1,8,5,4
E8.0-R2,e80_rep2,1,8,5,4
E8.0-R3,e80_rep3,1,8,5,4
E8.5-R1,e85_rep2,2,8.5,5,4
E8.5-R2,e85_rep3,3,8.5,5,4
E8.5-R3,e85_rep9,2,8.5,5,4
E9.0-R1,e90_rep1,8,9,5,4
E9.0-R1,e90_rep2,8,9,5,4
E9.0-R1,e90_rep3,6,9,5,4
E9.5-R1,e95_rep1,16,9.5,5,4
E9.5-R2,e95_rep2,16,9.5,5,4
E9.5-R3,e95_rep3,16,9.5,5,4
E10.0-R1,e10_rep1,24,10,5,4
