program,genes,size,active_in,name,description
P1,"Fgf18, Cer1, Fgf3, Sct, Lhx1, Blnk, Pmaip1, ENSMUSG00000135994, Lhfpl3, Dkk1, Epha1, Ripply2, Ndnf, Mixl1, Stra6l, Mesp2, Gm6667, Grem1, Hoxa6, Notum, Fgf4, Tll2, Dlgap2, Gm7967, Grm8, Aldoc, Kcnab3, Pla2g7, Cldn11, Bmper, Synm, Uap1l1, 3110004A20Rik, Hoxb3os, 2610035F20Rik, Il17rd, Frzb, Gm52981, Gm26801, Lhx1os, Adamtsl2, Msgn1, ENSMUSG00000139678, Dgkg, Tg, Wnt5b, Hoxaas2, Sulf1, Qrfpr, Nlrp6, ENSMUSG00000128537, Atp1a2, Gfra3, Alpl, ENSMUSG00000133400, Hhip, Marchf3, Clstn2, Spry4, Gm37606, D230030E09Rik, Gm48742, Lin7a, Zfp385b, Ptgds, Gm30382, Rdh10, Sema6a, Gnal, Plxna2, ENSMUSG00000122573, Eogt, Fstl4, B3gnt7, Etv5, Emilin2, Spry1, Hs3st3a1, Ccdc171, Lhfpl2, Mylip, Nin, Adamts20, Hs3st3b1, Rbp1, Car14, Gm38071, Hey1, Prkar2a, Gcnt2, Pcolce2, Tle4, Slit3, Mycn, Egln3, Rin2, 6330403K07Rik, Cdk6, Tcf7, Tpd52l1",100,"Axial progenitor, Nascent mesoderm, Nascent somite, Presomitic mesoderm, Primitive streak",PSM FGF-Wnt Somitogenesis,"Presomitic mesoderm program coupling FGF (Fgf3/4/18, Spry1/4, Etv5) and Wnt (Wnt5b, Dkk1, Frzb) signaling gradients with the somite segmentation machinery (Mesp2, Ripply2, Msgn1, Hey1). This program maintains the posterior growth zone in axial progenitors and primitive streak, drives paraxial mesoderm specification (Mixl1, Lhx1), and controls periodic somite boundary formation through coordinated signaling oscillations and Hox-mediated axial identity (Hoxa6, Hoxb3)."
P2,"9530020I12Rik, Tbx6, Fgf17, Hoxa9, Hoxc9, Hoxaas3, Hoxb9, Cdx2, Hes7, Hoxc8, T, Gpr15lg, Hoxc6, Evx1, Hoxa7, Evx1os, Gm45889, Epha5, Dll3, Hoxb8, Cpa6, Hoxd1, Cyp26a1, Fgf8, Naaa, Rspo3, Wnt3a, Gad1, Hoxb1, Gm53, Lmo2, Kif26b, Arl4d, Peli3, Sp5, Gm32342, Tcea3, Fzd10, Efna1, Etv4, Rftn1, Wnt5a, Limch1, Sall3, Sall1, Greb1, Lef1, Arhgap24, Greb1l, Rhpn2, Mllt3, Dusp4, Sall4, Arid3b, Ptk7, Laptm4b",56,"Axial progenitor, Presomitic mesoderm, Spinal cord (sacral)",Posterior Axial Elongation,"Drives posterior body axis extension via the Cdx2–Wnt3a–T (Brachyury) positive feedback loop, with FGF (Fgf8/17) and Wnt signaling maintaining axial progenitors in the tailbud while Notch oscillation components (Hes7, Dll3) and Tbx6 direct presomitic mesoderm segmentation. A dense posterior Hox code (paralog groups 6–9) and Cyp26a1-mediated retinoic acid clearance establish sacral-level positional identity and protect the progenitor zone from premature differentiation."
P3,"Hoxa5, Hoxd4, Hoxc5, Hoxb3, Hoxb6, Hoxb4, Hoxa4, Hoxb7, Hoxb5, Hoxa2, ENSMUSG00000139924, Fndc5, Hoxd3, Gm10830, Hoxb2, Hotairm1, ENSMUSG00000142394, Tshz1, Hoxa3, Meis1, ENSMUSG00000138963, Skap2, Ncam1, Tshz3, Gm15050, Meis2",26,"Nascent somite, Somatic motor neuron, Spinal cord (cervical), Spinal cord (lumbar), Spinal cord (thoracic), Spinal cord interneuron",Trunk Hox AP Patterning,"Encodes a Hox-based anterior-posterior positional identity program spanning paralog groups 2–7, corresponding to cervical-through-thoracic axial levels. The coordinated expression of Hoxa/b/c/d cluster genes together with TALE-class cofactors Meis1/2 and trunk transcription factors Tshz1/3 establishes regional identity in the spinal cord and nascent somites, specifying distinct motor neuron and interneuron subtypes along the rostrocaudal axis."
P4,"Hoxd11, Hoxc10, Hoxc11, Hoxa11os, Hoxa10, Hoxd10, Gm28309, Hoxd13, Hoxa11, Hoxd9, Hoxd8, Hoxd3os1, 2600014E21Rik, ENSMUSG00000129411, Ets2, Aopep",16,"Axial progenitor, Hindlimb field, Presomitic mesoderm, Spinal cord (sacral)",Posterior Hox Patterning,"Encodes a posterior Hox transcriptional program dominated by paralog groups 9–13 from the HoxA, HoxC, and HoxD clusters, establishing sacral-caudal positional identity along the anterior-posterior axis. Active in axial progenitors, presomitic mesoderm, sacral spinal cord, and the hindlimb field, consistent with the known role of posterior Hox genes in specifying trunk-to-tail fate and proximal-distal limb patterning."
P5,"Col13a1, Adam19, Prickle1, Dact1, Mcc, Mogat2, Nid2",7,"Allantois, Axial progenitor, Dermomyotome, Extraembryonic mesoderm, Lateral plate mesoderm, Nascent mesoderm, Nascent somite, Notochord, Parietal endoderm, Presomitic mesoderm, Primitive streak",Mesoderm PCP/ECM Remodeling,"Planar cell polarity and extracellular matrix remodeling program active across mesodermal lineages during gastrulation and axis elongation. Core PCP/non-canonical Wnt components (Prickle1, Dact1, Mcc) drive convergent extension movements critical for primitive streak elongation, mesoderm migration, and somitogenesis, while ECM genes (Col13a1, Nid2) and the metalloprotease Adam19 facilitate the tissue remodeling and basement membrane reorganization that accompany these morphogenetic processes."
P6,"Cdx1, Nkx1-2, Sema3e, Hoxa1, Gbx2, Lhpp",6,"Primitive streak, Spinal cord",Caudal Axial Patterning,"Defines a posterior axial progenitor program active in neuromesodermal progenitors of the primitive streak and their spinal cord derivatives. Cdx1, Nkx1-2, and Hoxa1 are core transcription factors that drive caudal identity and body axis elongation, while Gbx2 contributes to posterior neural patterning. This program coordinates the transition from axial progenitors to spinal cord fate during trunk extension."
P7,"Gm14226, Osr1, Rnf213, Cacna2d1, Epb41l3, Pdzrn3",6,"Enteroendocrine progenitor, Intermediate mesoderm, Mesothelium, Myotome, Nascent somite, Presomitic mesoderm",Osr1+ Mesoderm Identity,"An Osr1-driven mesodermal identity program active across paraxial (presomitic mesoderm, somite, myotome) and lateral plate (intermediate mesoderm, mesothelium) derivatives. Osr1 is a key zinc-finger transcription factor specifying intermediate mesoderm and mesothelial fate, while Pdzrn3 modulates non-canonical Wnt signaling during mesenchymal differentiation and Epb41l3 contributes to cytoskeletal organization underlying mesodermal cell morphogenesis. Together, these genes define a shared regulatory state across diversifying mesodermal lineages during trunk elongation."
P8,"Rarg, Lypd6, Itgb5, Arhgap10, Zfp36l2",5,"Allantois, Axial progenitor, Epiblast, Epidermal progenitor, Extraembryonic ectoderm, Extraembryonic mesoderm, Forelimb field, Frontonasal mesenchyme, Hindlimb field, Nascent mesoderm, Presomitic mesoderm, Rostral ectoderm, Spinal cord (sacral), Surface ectoderm, Trigeminal placode",RA Progenitor Maintenance,"A broadly active program linking retinoic acid responsiveness (Rarg) and Wnt modulation (Lypd6) with progenitor state maintenance via post-transcriptional mRNA decay (Zfp36l2). Active across diverse progenitor and early-specified cell types spanning ectoderm, mesoderm, and extraembryonic compartments, it likely sustains multipotent or transitional states through coordinated signaling receptivity, integrin-mediated adhesion (Itgb5), and cytoskeletal remodeling (Arhgap10)."
P9,"Gzmk, ENSMUSG00000143355, Fgf9, Smoc1, Vwa2",5,"Nascent somite, Presomitic mesoderm",PSM FGF9-ECM Signaling,"FGF and extracellular matrix program active during somitogenesis. Fgf9 is a key FGF ligand that maintains the presomitic mesoderm in an undifferentiated state as part of the posterior-to-anterior FGF signaling gradient, while Smoc1 and Vwa2 encode ECM-associated proteins involved in matrix remodeling during somite boundary formation and epithelialization. This program likely coordinates FGF-dependent PSM maintenance with ECM dynamics at the transition from presomitic mesoderm to nascent somite."
P10,"Aldh1a3, Cyp26b1, Olig2, Hmx1, Lrtm1, Hesx1, Gm32647, Barhl2, Rspo2, Vgll3, Car10, Dbx1, Lmx1a, Gm32793, Trh, Samd5, Slit1, Fgf15, Ascl1, Rspo1, Pcdh9, Kcna1, Sp9, Tafa1, Ly6h, Timp4, Plagl1, Igfbpl1, Adamts16, Ppp2r2c, Lrrtm3, Ano1, Trpm3, 2700046A07Rik, Cx3cl1, Gdf10, Trim9, Kcnd2, Isl2, Ntrk2, Tmem163, Tenm2, Ralyl, Lmo1, Apcdd1, Pou6f2, Kcnk10, Ermn, Nefm, Khdrbs2, Grik3, Marchf1, Id4, Rgs4, Crabp1, Dchs2, Upp1, Tmem132d, Ccdc182, Dbx2, Minar2, ENSMUSG00000137494, Thrb, Synpo, Mafb, Chrna3, Myt1l, Fam81a, Gm56971, Bmp6, Hs3st5, Gsg1l, Cfap144, Gabbr2, Ano3, Rp1, Cntn1, Chl1, Metrnl, Cacna2d3, Sv2b, Olig1, Gm29683, Pcdh17, Gm38505, Lingo2, Neto1, Gm38604, Mctp1, Spock2, Wnt9a, ENSMUSG00000131858, Grin2a, Crtac1, Kcnq3, Asic2, Scrn1, Pcsk2, Grem2, Ppp1r1a, Aldh1a7, Pdzrn4, Fstl5, Cbln1, Syt1, Kcnh8, Pdzd2, Nog, Cpne5, Egr2, Gpm6a, Kcnh5, Gm32849, Large2, Pmel, Nrn1, Pcdh15, Chgb, Negr1, Rorb, C130073E24Rik, Pex5l, Mdga2, Dclk1, Ackr3, Nxph1, St8sia1, C130026L21Rik, B130024G19Rik, Necab2, Plcxd3, Stk33, Xkr4, Entrep2, Cdhr1, Lgr5, Acp3, Ankfn1, Nxph4, Vwc2, Vat1l, Plppr1, Nalf1, Ap3b2, Csmd2, 4930578M01Rik, Edaradd, Insl6, Adarb2, Cfap77, Gabrb2, Slc8a3, ENSMUSG00000138666, Lgi1, Scn5a, Gm10421, Tmem178, Ncam2, Car3, Mir670hg, Ntrk3, Cacna1b, Maf, Adamts5, Ptchd4, Cntn3, Spock1, Ttbk1, C1ql1, Lrrc7-1, Rnd2, Pde1a, Nkain2, Sncg, H2bc27, Dner, Necab1, Gm973, St8sia3, Ncald, Plcl1, Zfp804b, Gpr137c, Kcna5, Cspg5, Adamtsl1, Kcnb2, Lfng, Gm16104, Rnf152, Mfsd2a, Shroom3, Dusp8, Thbs1, Tex15, Zmat4, Tnfrsf19, Rab3c, Rgs7, Spsb4, Syt13, Arl4a, Magi2, Tenm4, Pdpn, Chst2, Dgki, Cdc25b, Kcnh2, Slit2, Chst8, Cercam, Entrep1, ENSMUSG00000133686, Galnt16, Enc1, D430041D05Rik, Plekha6, Jag1, Agbl4, Chn2, Tubb4a, Btg2, Clxn, Map1a, Fzd8, Olfml3, Efna2, Efnb2, Dclk2, Pknox2, E2f2, Abcd2, Cxxc4, Cpe, Fam78b, A230057D06Rik, Pclo, Lrp8, Axin2, Chrna7, Bcar3, Adam23, Nsg1, Rgs2, Hecw2, Nuak1, Mtus1, Nkd1, Ankrd6, Megf9, Efnb3, Heg1, Lgr4, Gng3, Tamalin, Klhl29, Rragd, Sox13, Cacna1a, Flrt3, Tpbg, Ephb2, Elmo1",264,"Cranial motor neuron, Diencephalon, Floor plate, Hypothalamic neuron, Midbrain, Midbrain neuron, Somatic motor neuron, Spinal cord interneuron, Trigeminal ganglion neuron",Ventral CNS Neurogenesis,"Ventral CNS neuronal specification and differentiation program combining ventral patterning transcription factors (Olig2, Dbx1, Lmx1a, Ascl1) with extensive neuronal maturation genes including ion channels (Kcna1, Kcnq3, Cacna1a), synaptic machinery (Syt1, Pclo, Chgb), axon guidance cues (Slit1/2, Efnb2/3), and retinoic acid metabolism (Aldh1a3, Cyp26b1, Crabp1). Active across floor plate, motor neurons, spinal interneurons, and midbrain/diencephalic neurons, reflecting a shared program for neurogenesis and functional maturation in ventral neural tube-derived and adjacent CNS populations."
