embryo,n_cells,n_tracing,n_captures,mean_umis,n_clones,chimerism_rate,detection_rate,edit_frac,avg_tree_depth,branches_marked,unique_leaves,cell_total_estimate,recovery_estimate
E7.5-R1,1342,1032,1,50381.18,2,0.77,0.98,0.52,9.76,0.87,0.99,3825,0.35
E7.5-R2,1838,1298,1,34350.79,6,0.72,0.94,0.43,8.51,0.89,0.99,6750,0.27
E7.5-R3,1468,1374,1,46638.39,3,0.97,0.96,0.46,8.93,0.84,0.99,7687,0.19
E8.0-R1,4498,4203,1,21654.87,3,0.94,0.94,0.51,10.31,0.82,0.98,14375,0.31
E8.0-R2,10681,7748,1,10392.26,2,0.73,0.95,0.47,11.15,0.83,0.99,19375,0.55
E8.0-R3,6763,5708,1,16371.54,6,0.85,0.94,0.44,9.83,0.85,0.99,12500,0.54
E8.5-R1,23392,11832,2,33017.76,4,0.52,0.94,0.46,10.83,0.8,0.99,55000,0.43
E8.5-R2,38154,27670,3,30949.54,2,0.74,0.95,0.46,11.11,0.76,0.97,91250,0.42
E8.5-R3,27684,24752,2,28931.47,3,0.92,0.96,0.46,12.62,0.81,0.98,46250,0.6
E9.0-R1,92026,87357,8,17730.24,5,0.98,0.95,0.51,12.67,0.77,0.96,187500,0.49
E9.0-R2,99853,94090,8,21555.45,2,0.99,0.92,0.41,15.3,0.77,0.99,256250,0.39
E9.0-R3,62844,60204,6,23878.16,2,0.98,0.96,0.5,15.19,0.79,0.98,134375,0.47
E9.5-R1,382281,262548,16,17792.83,3,0.76,0.92,0.5,15.02,0.74,0.98,759360,0.5
E9.5-R2,350075,246057,16,11044.13,3,0.76,0.93,0.47,15.49,0.76,0.99,696864,0.5
E9.5-R3,342421,317931,16,10763.29,4,0.98,0.93,0.5,14.76,0.75,0.99,510000,0.67
E10.0-R1,347314,294103,24,20989.7,6,0.97,0.9,0.55,13.77,0.73,0.99,971875,0.36
